request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
15626,2,0,PROMPT,None_1,3.6,4.151315549839213
15626,2,1,TOKEN,None_30,4.345621726621705,6.726095072000421
15626,2,2,KVCacheTransfer,DummyLink,4.151315549839213,4.152780393589213
15636,2,0,PROMPT,None_12,5.5,6.051315549839212
15636,2,1,TOKEN,None_29,6.139924330814674,11.206013425410697
15636,2,2,KVCacheTransfer,DummyLink,6.051315549839212,6.052426389682962
15612,2,0,PROMPT,None_8,1.1,4.732979943999446
15612,2,1,TOKEN,None_28,4.753072717436946,16.814758228785234
15612,2,2,KVCacheTransfer,DummyLink,4.732979943999446,4.753072717436946
15617,2,0,PROMPT,None_4,1.8,2.2888618352089893
15617,2,1,TOKEN,None_33,2.2916328313027394,18.029650784619935
15617,2,2,KVCacheTransfer,DummyLink,2.2888618352089893,2.2916328313027394
15663,2,0,PROMPT,None_3,10.6,11.071633224276514
15663,2,1,TOKEN,None_26,11.168359376931972,24.627874486074397
15663,2,2,KVCacheTransfer,DummyLink,11.071633224276514,11.074306564120263
15616,2,0,PROMPT,None_3,1.4,5.737062934361429
15616,2,1,TOKEN,None_31,5.761049750767679,24.66288660250528
15616,2,2,KVCacheTransfer,DummyLink,5.737062934361429,5.761049750767679
15638,2,0,PROMPT,None_5,5.9,6.849034038457684
15638,2,1,TOKEN,None_27,6.988155659413961,25.163457125852773
15638,2,2,KVCacheTransfer,DummyLink,6.849034038457684,6.854405132207684
15628,2,0,PROMPT,None_6,4.2,6.2139038670806475
15628,2,1,TOKEN,None_38,6.332332071696727,25.215539472746435
15628,2,2,KVCacheTransfer,DummyLink,6.2139038670806475,6.225219785049397
15630,2,0,PROMPT,None_1,4.2,8.985115746409964
15630,2,1,TOKEN,None_30,9.102933517607564,25.567300772346798
15630,2,2,KVCacheTransfer,DummyLink,8.985115746409964,9.011580590159964
15650,2,0,PROMPT,None_0,8.3,10.58546587720479
15650,2,1,TOKEN,None_31,10.629543866189996,26.294939190287437
15650,2,2,KVCacheTransfer,DummyLink,10.58546587720479,10.59830767407979
15622,2,0,PROMPT,None_0,3.0,3.9425633518318355
15622,2,1,TOKEN,None_38,3.9478978244880856,26.38920846362151
15622,2,2,KVCacheTransfer,DummyLink,3.9425633518318355,3.9478978244880856
15688,2,0,PROMPT,None_1,15.0,15.551315549839213
15688,2,1,TOKEN,None_27,15.674667348878893,26.58057300837252
15688,2,2,KVCacheTransfer,DummyLink,15.551315549839213,15.551767209995463
15605,2,0,PROMPT,None_1,0.0,2.4179881381453723
15605,2,1,TOKEN,None_21,2.431574563926622,26.884069748026768
15605,2,2,KVCacheTransfer,DummyLink,2.4179881381453723,2.431574563926622
15635,2,0,PROMPT,None_2,5.4,6.249816843528017
15635,2,1,TOKEN,None_22,6.303843711057469,27.080206457536374
15635,2,2,KVCacheTransfer,DummyLink,6.249816843528017,6.254626413840517
15651,2,0,PROMPT,None_2,8.7,9.573542694489458
15651,2,1,TOKEN,None_38,9.637072090581038,27.089066648411237
15651,2,2,KVCacheTransfer,DummyLink,9.573542694489458,9.578486542145708
15620,2,0,PROMPT,None_1,2.7,3.597268545450901
15620,2,1,TOKEN,None_36,3.602346670450901,27.865735770280967
15620,2,2,KVCacheTransfer,DummyLink,3.597268545450901,3.602346670450901
15640,2,0,PROMPT,None_2,6.4,7.2649151123216615
15640,2,1,TOKEN,None_20,7.472889057597529,28.075334824779443
15640,2,2,KVCacheTransfer,DummyLink,7.2649151123216615,7.269810131852911
15641,2,0,PROMPT,None_6,6.4,9.130827573808386
15641,2,1,TOKEN,None_29,9.202727431913885,28.113354836315928
15641,2,2,KVCacheTransfer,DummyLink,9.130827573808386,9.146171812089635
15606,2,0,PROMPT,None_2,0.0,2.1420811358592426
15606,2,1,TOKEN,None_22,2.1541172686717425,29.478029996289802
15606,2,2,KVCacheTransfer,DummyLink,2.1420811358592426,2.1541172686717425
15643,2,0,PROMPT,None_14,6.6,7.492954754367002
15643,2,1,TOKEN,None_38,7.649656373157583,30.35498556619501
15643,2,2,KVCacheTransfer,DummyLink,7.492954754367002,7.498008465304502
15637,2,0,PROMPT,None_3,5.8,8.785009615284583
15637,2,1,TOKEN,None_26,8.933224684331002,30.65559940498689
15637,2,2,KVCacheTransfer,DummyLink,8.785009615284583,8.801782076222082
15623,2,0,PROMPT,None_4,3.2,8.958471855342985
15623,2,1,TOKEN,None_39,8.990319999874234,31.032692363003324
15623,2,2,KVCacheTransfer,DummyLink,8.958471855342985,8.990319999874234
15646,2,0,PROMPT,None_5,7.1,7.943346156902169
15646,2,1,TOKEN,None_24,8.012124789990729,31.156243489192658
15646,2,2,KVCacheTransfer,DummyLink,7.943346156902169,7.948119106120918
15684,2,0,PROMPT,None_16,13.6,14.43687547027632
15684,2,1,TOKEN,None_25,14.65657624587034,31.546515404255345
15684,2,2,KVCacheTransfer,DummyLink,14.43687547027632,14.44161179840132
15610,2,0,PROMPT,None_6,0.8,3.652487354344001
15610,2,1,TOKEN,None_26,3.668515186375251,31.61663740415585
15610,2,2,KVCacheTransfer,DummyLink,3.652487354344001,3.668515186375251
15664,2,0,PROMPT,None_2,10.7,12.216297565990343
15664,2,1,TOKEN,None_38,12.307379170854245,31.80663819190792
15664,2,2,KVCacheTransfer,DummyLink,12.216297565990343,12.224879108959094
15615,2,0,PROMPT,None_11,1.4,14.930761398970805
15615,2,1,TOKEN,None_32,15.003258957564555,31.858546882659695
15615,2,2,KVCacheTransfer,DummyLink,14.930761398970805,15.003258957564555
