name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_115,token,7.002893066406159,27.00289306640616,1,0,139466933760.0,3,2,0,0,15639,4,2.0,1,2
None_115,token,27.00289306640616,37.00289306640616,3,0,142541882880.0,4,1,0,0,15639,5,1.0,3,1
None_115,token,37.00289306640616,57.00289306640616,4,0,145228858880.0,5,1,0,0,15639,6,2.0,4,1
None_115,token,57.00289306640616,67.00289306640616,5,0,147834570240.0,6,1,0,0,15639,7,1.0,5,1
None_115,token,67.00289306640616,77.00289306640616,6,0,154249233920.0,7,1,0,0,15639,8,1.0,6,1
None_115,token,77.00289306640616,97.00289306640616,7,0,155628111360.0,8,1,0,0,15639,9,2.0,7,1
None_115,token,97.00289306640616,107.00289306640616,8,0,161473922560.0,9,1,0,0,15639,10,1.0,8,1
None_115,token,107.00289306640616,127.00289306640616,9,0,169254356480.0,10,1,0,0,15639,11,2.0,9,1
None_115,token,127.00289306640616,157.00289306640616,10,0,172035704320.0,11,1,0,0,15639,12,3.0,10,1
None_115,token,157.00289306640616,177.00289306640616,11,0,176232629760.0,12,1,0,0,15639,13,2.0,11,1
None_115,token,177.00289306640616,197.00289306640616,12,0,179873809920.0,13,1,0,0,15639,14,2.0,12,1
None_115,token,197.00289306640616,227.00289306640616,13,0,182159705600.0,15,2,0,0,15639,16,3.0,13,2
None_115,token,227.00289306640616,237.00289306640616,15,0,183572661760.0,16,1,0,0,15639,17,1.0,15,1
None_115,token,237.00289306640616,247.00289306640616,16,0,186815383040.0,17,1,0,0,15639,18,1.0,16,1
None_115,token,247.00289306640616,267.00289306640616,17,0,188529804800.0,18,1,0,0,15639,19,2.0,17,1
None_115,token,267.00289306640616,277.00289306640616,18,0,192026805760.0,19,1,0,0,15639,20,1.0,18,1
None_115,token,277.00289306640616,307.00289306640616,19,0,194163279360.0,21,2,0,0,15639,22,3.0,19,2
None_115,token,307.00289306640616,317.00289306640616,21,0,197655037440.0,22,1,0,0,15639,23,1.0,21,1
None_115,token,317.00289306640616,337.00289306640616,22,0,201568847360.0,23,1,0,0,15639,24,2.0,22,1
