model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,196.2532192,54.87951194,7168.983698,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,195.5616639,54.85629276,7165.270329,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,197.4401758,54.80496004,7160.75325,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,196.8623791,54.85648231,7166.614532,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,197.1440038,54.8129801,7161.34119,2
llama2-70b,h100-80gb,512,1,128,0,0,85.39954998,36.97136075,4784.076691,2
llama2-70b,h100-80gb,512,1,128,0,0,83.41073204,37.05370054,4792.494059,2
llama2-70b,h100-80gb,512,1,128,0,0,83.82702799,37.10623497,4799.792051,2
llama2-70b,h100-80gb,512,1,128,0,0,82.85058598,36.99995854,4785.681725,2
llama2-70b,h100-80gb,512,1,128,0,0,83.82929297,36.86513585,4769.047499,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.74525625,415.3701541,59.92381385,8029.179096,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.74525625,416.5262149,59.92401746,8030.256748,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.74525625,416.1732079,60.03993637,8044.616461,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.74525625,416.4925769,59.8891473,8025.643587,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.74525625,417.666149,59.90444079,8028.825521,2
llama2-70b,h100-80gb,512,2,128,0,0,163.268483,37.35003823,4910.74729,2
llama2-70b,h100-80gb,512,2,128,0,0,156.082285,37.38902857,4908.274889,2
llama2-70b,h100-80gb,512,2,128,0,0,154.606211,37.39099839,4906.876326,2
llama2-70b,h100-80gb,512,2,128,0,0,154.811987,37.46947349,4917.347431,2
llama2-70b,h100-80gb,512,2,128,0,0,155.844833,37.30848178,4898.159742,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,843.27085,60.61016183,8546.058416,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,845.3683939,60.44554979,8526.562452,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,844.164308,60.46833658,8528.370619,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,846.8362091,60.62689318,8551.056862,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,847.123925,60.52109977,8537.888527,2
llama2-70b,h100-80gb,512,4,128,0,0,299.840858,39.98741007,5383.327961,2
llama2-70b,h100-80gb,512,4,128,0,0,300.418503,39.99876027,5384.97591,2
llama2-70b,h100-80gb,512,4,128,0,0,299.064887,39.92679353,5374.96829,2
llama2-70b,h100-80gb,512,4,128,0,0,298.870865,39.98172926,5381.267071,2
llama2-70b,h100-80gb,512,4,128,0,0,299.820473,39.87615846,5368.785858,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.761675,1596.827293,61.69249446,9439.392567,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.761675,1605.244856,61.74091525,9454.072952,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.761675,1616.479019,61.72737957,9463.507414,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.761675,1572.351737,61.56952056,9399.286509,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.761675,1589.304852,61.50574648,9408.045292,2
llama2-70b,h100-80gb,512,8,128,0,0,606.021712,40.40494675,5744.936705,2
llama2-70b,h100-80gb,512,8,128,0,0,601.786093,40.42805949,5743.527651,2
llama2-70b,h100-80gb,512,8,128,0,0,606.793208,40.32767092,5735.673189,2
llama2-70b,h100-80gb,512,8,128,0,0,605.421263,40.46082247,5751.42765,2
llama2-70b,h100-80gb,512,8,128,0,0,608.582976,40.29354488,5732.980967,2
llama2-70b,a100-80gb,512,16,128,1.05955,0.7943,3220.057112,66.07665393,11624.73273,2
llama2-70b,a100-80gb,512,16,128,1.05955,0.7943,3211.833605,65.46239788,11538.15365,2
llama2-70b,a100-80gb,512,16,128,1.05955,0.7943,3238.848069,65.7014804,11595.366,2
llama2-70b,a100-80gb,512,16,128,1.05955,0.7943,3257.95095,65.39651266,11575.75154,2
llama2-70b,a100-80gb,512,16,128,1.05955,0.7943,3242.134724,65.36857207,11556.37288,2
llama2-70b,h100-80gb,512,16,128,0,0,1184.46836,42.19208277,6552.923441,2
llama2-70b,h100-80gb,512,16,128,0,0,1191.978653,41.82871633,6514.312506,2
llama2-70b,h100-80gb,512,16,128,0,0,1189.784038,42.03085765,6537.083626,2
llama2-70b,h100-80gb,512,16,128,0,0,1194.500048,41.97236409,6534.572124,2
llama2-70b,h100-80gb,512,16,128,0,0,1197.182532,41.81882562,6518.284798,2
llama2-70b,a100-80gb,512,32,128,0,0,6638.894985,72.0921726,18486.89866,2
llama2-70b,a100-80gb,512,32,128,0,0,6663.378841,72.32695743,18548.83909,2
llama2-70b,a100-80gb,512,32,128,0,0,6632.632522,72.0755314,18476.90082,2
llama2-70b,a100-80gb,512,32,128,0,0,6478.387808,72.35062955,18150.50673,2
llama2-70b,a100-80gb,512,32,128,0,0,6619.584936,72.18983483,18482.31006,2
llama2-70b,h100-80gb,512,32,128,0,0,2398.744574,52.09652491,9032.897711,2
llama2-70b,h100-80gb,512,32,128,0,0,2397.77358,52.30625055,9058.289051,2
llama2-70b,h100-80gb,512,32,128,0,0,2386.390131,52.29605832,9045.567989,2
llama2-70b,h100-80gb,512,32,128,0,0,2390.859555,52.25682522,9044.612169,2
llama2-70b,h100-80gb,512,32,128,0,0,2398.42653,52.35906405,9063.799858,2
llama2-70b,a100-80gb,512,64,128,0,0,802.006906,67.29530307,159757.9095,2
llama2-70b,a100-80gb,512,64,128,0,0,793.398625,67.24329823,159625.3572,2
