request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
15626,2,0,PROMPT,None_1,7.649301242937083,7.730305033281763
15626,2,1,TOKEN,None_3,7.778902578144303,9.852560433748481
15626,2,2,KVCacheTransfer,DummyLink,7.730305033281763,7.730305082109887
15612,2,0,PROMPT,None_1,2.2,2.4589219611992674
15612,2,1,TOKEN,None_2,2.587054622130543,12.743845938573998
15612,2,2,KVCacheTransfer,DummyLink,2.4589219611992674,2.458922630958382
15636,2,0,PROMPT,None_0,11.0,11.08100379034468
15636,2,1,TOKEN,None_2,11.152352055801648,15.730192925600614
15636,2,2,KVCacheTransfer,DummyLink,11.08100379034468,11.081003827372674
15616,2,0,PROMPT,None_0,2.8,3.1091018552591496
15616,2,1,TOKEN,None_3,3.14193010096544,19.20559061332411
15616,2,2,KVCacheTransfer,DummyLink,3.1091018552591496,3.1091026548196963
15605,2,0,PROMPT,None_1,0.15374571656790015,0.32882478267651777
15605,2,1,TOKEN,None_3,0.32882523555737714,21.28418320005868
15605,2,2,KVCacheTransfer,DummyLink,0.32882478267651777,0.32882523555737714
15617,2,0,PROMPT,None_0,3.6,3.6718275797196966
15617,2,1,TOKEN,None_4,3.722809985355669,21.502951060138663
15617,2,2,KVCacheTransfer,DummyLink,3.6718275797196966,3.6718276720862333
15615,2,0,PROMPT,None_1,2.8,3.762044646538878
15615,2,1,TOKEN,None_4,3.9017487423679733,21.502951060138663
15615,2,2,KVCacheTransfer,DummyLink,3.762044646538878,3.7620470631241645
15606,2,0,PROMPT,None_1,0.0,0.15374571656790015
15606,2,1,TOKEN,None_2,0.15374611777232722,23.373467691333374
15606,2,2,KVCacheTransfer,DummyLink,0.15374571656790015,0.15374611777232722
15630,2,0,PROMPT,None_0,8.601818133310942,8.953007356024578
15630,2,1,TOKEN,None_2,8.99441404828544,23.81683877887458
15630,2,2,KVCacheTransfer,DummyLink,8.953007356024578,8.953008238186037
15628,2,0,PROMPT,None_0,8.457272211142136,8.601818133310942
15628,2,1,TOKEN,None_3,8.709212683161978,25.5377800836099
15628,2,2,KVCacheTransfer,DummyLink,8.601818133310942,8.601818510508208
15620,2,0,PROMPT,None_1,5.4,5.465815579655053
15620,2,1,TOKEN,None_2,5.477603350542687,27.483454814710345
15620,2,2,KVCacheTransfer,DummyLink,5.465815579655053,5.465815748925886
15634,2,0,PROMPT,None_1,10.2,11.162530609485437
15634,2,1,TOKEN,None_4,11.249653815347079,27.555078004411452
15634,2,2,KVCacheTransfer,DummyLink,11.162530609485437,11.162533027291426
15638,2,0,PROMPT,None_0,11.8,11.86961263232746
15638,2,1,TOKEN,None_3,11.956625820474414,28.871253646949818
15638,2,2,KVCacheTransfer,DummyLink,11.86961263232746,11.869612811363918
