name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_0,prompt,0.0,0.035338659226469275,1,1,1075609600,1,0,0,0,15604,2,1,0,0
None_0,prompt,0.12,0.13133356057258463,1,1,335052800.0,1,0,0,0,15608,2,1,0,0
None_0,prompt,0.16,0.19536559418014798,1,1,1076428800.0,2,1,0,1,15610,2,1,0,1032
None_0,prompt,0.19536559418014798,0.22316246637657808,1,1,846233600.0,1,0,0,0,15611,2,1,0,0
None_0,prompt,0.24,0.2500557571746952,1,1,149094400.0,1,0,0,0,15614,2,1,0,0
None_0,prompt,0.27999999999999997,0.44838709587103165,1,1,4866048000.0,1,0,0,0,15615,2,1,0,0
None_0,prompt,0.45999999999999996,0.4717780139283722,1,1,174489600.0,1,0,0,0,15619,2,1,0,0
None_0,prompt,0.54,0.5515557872504785,1,1,341606400.0,1,0,0,0,15620,2,1,0,0
None_0,prompt,0.5599999999999999,0.5906250423326947,1,1,932249600.0,1,0,0,0,15621,2,1,0,0
None_0,prompt,0.6,0.6121391322799496,1,1,358809600.0,1,0,0,0,15622,2,1,0,0
None_0,prompt,0.64,0.7139723746636676,1,1,2138112000.0,2,1,0,1,15623,2,1,0,5290
None_0,prompt,0.7139723746636676,0.8639585233684592,1,1,4334387200.0,2,1,0,1,15625,2,1,0,1633
None_0,prompt,0.8639585233684592,0.9079433027257948,1,1,1338572800.0,2,1,0,1,15627,2,1,0,1127
None_0,prompt,0.9079433027257948,0.9382989955217025,1,1,924057600.0,2,1,0,1,15631,2,1,0,418
None_0,prompt,0.9382989955217025,0.9499103394416544,1,1,343244800.0,1,0,0,0,15632,2,1,0,0
None_0,prompt,1.02,1.1884721541784258,1,1,4868505600.0,1,0,0,0,15634,2,1,0,0
None_0,prompt,1.2,1.2131669306652086,1,1,194969600.0,1,0,0,0,15639,2,1,0,0
None_0,prompt,1.28,1.3088742703435785,1,1,879001600.0,1,0,0,0,15642,2,1,0,0
None_0,prompt,1.3199999999999998,1.3315002305810049,1,1,339968000.0,1,0,0,0,15643,2,1,0,0
None_0,prompt,1.3599999999999999,1.369555747149434,1,1,282624000.0,1,0,0,0,15645,2,1,0,0
None_0,prompt,1.42,1.4308613288820602,1,1,321126400.0,1,0,0,0,15646,2,1,0,0
None_0,prompt,1.54,1.568551050899434,1,1,869171200.0,1,0,0,0,15649,2,1,0,0
None_0,prompt,1.6600000000000001,1.6883355712700046,1,1,862617600.0,1,0,0,0,15650,2,1,0,0
None_0,prompt,1.8,1.811611343919952,1,1,172032000.0,1,0,0,0,15653,2,1,0,0
None_0,prompt,1.8399999999999999,1.8694129694171526,1,1,895385600.0,1,0,0,0,15655,2,1,0,0
None_0,prompt,1.9,1.9300055383980843,1,1,913408000.0,1,0,0,0,15656,2,1,0,0
None_0,prompt,1.9600000000000002,1.9712502255683746,1,1,332595200.0,1,0,0,0,15657,2,1,0,0
