name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_17,token,0.19649611418479762,0.39152895991440256,1,0,3146547200.0,2,1,0,0,7720,3,6.0,0,1
None_17,token,0.3915289599144026,0.6723669025022765,1,0,937984000.0,1,0,0,0,7737,2,9,0,0
None_17,token,0.765949929435366,0.7996376090928862,1,0,6068633600.0,2,1,0,0,7760,3,1.0,0,1
None_17,token,0.7996376090928862,0.9811614387907922,2,0,6072729600.0,2,0,0,0,7760,3,5,0,0
None_17,token,0.9811614387907923,1.2507028379225906,1,0,5142118400.0,2,1,0,0,7760,3,8.0,0,1
None_17,token,1.2507028379225906,1.533694736690933,2,0,5148672000.0,2,0,0,0,7760,3,8,0,0
None_17,token,1.5336947366909328,1.634812723236994,1,0,5144576000.0,2,1,0,0,7760,3,3.0,0,1
None_17,token,1.634812723236994,1.8117409376966782,2,0,5938380800.0,3,1,0,0,7760,4,5.0,0,1
None_17,token,1.8117409376966784,2.06452516955198,3,0,6745292800.0,4,1,0,0,7760,5,7.0,0,1
None_17,token,2.06452516955198,2.249195996234804,4,0,8341094400.0,5,1,0,0,7760,6,5.0,0,1
None_17,token,2.2491959962348034,2.557527050801254,5,0,8366489600.0,5,0,0,0,7760,6,8.0,0,0
None_17,token,2.557527050801254,3.4278463092888476,4,0,7644774400.0,4,0,0,0,7760,5,23.0,0,0
None_17,token,3.4278463092888476,3.536746870092274,3,0,6055526400.0,3,0,0,0,7760,4,3.0,0,0
None_17,token,3.5367468700922746,3.5722174319614393,2,0,6538035200.0,3,1,0,0,7760,4,1.0,0,1
None_17,token,3.5722174319614393,3.7562159836111113,3,0,8109260800.0,4,1,0,0,7760,5,5.0,0,1
None_17,token,3.7562159836111113,3.7946212453473023,4,0,8136294400.0,4,0,0,0,7760,5,1.0,0,0
None_17,token,3.794621245347302,3.942925698448988,3,0,6932889600.0,4,1,0,0,7760,5,4.0,0,1
None_17,token,3.942925698448988,4.389272689411246,4,0,6942720000.0,4,0,0,0,7760,5,12,0,0
None_17,token,4.389272689411246,4.797549516028888,3,0,8181350400.0,4,1,0,0,7760,5,11.0,0,1
None_17,token,4.797549516028888,4.990158602004546,4,0,8192819200.0,4,0,0,0,7760,5,5.0,0,0
None_17,token,4.990158602004546,5.322419979806282,3,0,6599475200.0,3,0,0,0,7760,4,9.0,0,0
None_17,token,5.322419979806282,5.500172407868474,2,0,7841382400.0,3,1,0,0,7760,4,5.0,0,1
None_17,token,5.500172407868474,5.653015863556897,3,0,7855308800.0,3,0,0,0,7760,4,4.0,0,0
None_17,token,5.653015863556897,6.0175537677491615,2,0,8260812800.0,3,1,0,0,7760,4,10.0,0,1
None_17,token,6.0175537677491615,6.133502603662513,3,0,8269004800.0,3,0,0,0,7760,4,3.0,0,0
None_17,token,6.133502603662513,6.205484401141382,2,0,5646745600.0,2,0,0,0,7760,3,2.0,0,0
None_17,token,6.205484401141382,6.2379249373882395,1,0,8191180800.0,2,1,0,0,7905,3,1.0,0,1
None_17,token,6.2379249373882395,6.392248647567795,2,0,8205926400.0,2,0,0,0,7905,3,4.0,0,0
None_17,token,6.392248647567795,6.901849931295863,1,0,6054707200.0,1,0,0,0,7905,2,14.0,0,0
None_17,token,7.242255636481678,8.22640682541069,1,0,6114508800.0,1,0,0,0,7852,2,27,0,0
None_17,token,13.845781572014817,14.404954844979315,1,0,808550400.0,1,0,0,0,8081,2,18,0,0
None_17,token,25.03736527371246,25.437792567339244,1,0,545587200.0,1,0,0,0,8114,2,13,0,0
None_17,token,25.467188420796806,25.80980289797562,1,0,6996787200.0,2,1,0,0,8134,3,11.0,0,1
None_17,token,25.80980289797562,26.780870913713965,2,0,7023820800.0,2,0,0,0,8134,3,26.0,0,0
None_17,token,26.780870913713965,27.03617274405144,1,0,6119424000.0,1,0,0,0,8147,2,7.0,0,0
None_17,token,27.84469851620864,28.136292208171966,1,0,6098124800.0,1,0,0,0,8157,2,8,0,0
None_17,token,28.35650747652173,28.61754365730685,1,0,2339635200.0,1,0,0,0,8215,2,8,0,0
None_17,token,28.726218235166915,28.893865721411707,1,0,5890867200.0,2,1,0,0,8229,3,5.0,0,1
