request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
7718,2,0,PROMPT,None_6,0.11499999999999999,0.12623515541384336
7718,2,1,TOKEN,None_20,0.1262351715271246,0.19770929057564357
7718,2,2,KVCacheTransfer,DummyLink,0.12623515541384336,0.1262351715271246
7720,2,0,PROMPT,None_1,0.12,0.20001390688441845
7720,2,1,TOKEN,None_33,0.20001412644822053,0.29379964256937163
7720,2,2,KVCacheTransfer,DummyLink,0.20001390688441845,0.20001412644822053
7722,2,0,PROMPT,None_5,0.135,0.2426836530382963
7722,2,1,TOKEN,None_31,0.24268394852983277,0.3233316995822294
7722,2,2,KVCacheTransfer,DummyLink,0.2426836530382963,0.24268394852983277
7717,2,0,PROMPT,None_4,0.10500000000000001,0.14529930378859712
7717,2,1,TOKEN,None_36,0.14529942187127942,0.3248731206264843
7717,2,2,KVCacheTransfer,DummyLink,0.14529930378859712,0.14529942187127942
7729,2,0,PROMPT,None_1,0.275,0.2850435480214661
7729,2,1,TOKEN,None_13,0.28504356242576295,0.3850287666757128
7729,2,2,KVCacheTransfer,DummyLink,0.2850435480214661,0.28504356242576295
7719,2,0,PROMPT,None_5,0.11499999999999999,0.13134165506178613
7719,2,1,TOKEN,None_21,0.13134170388991112,0.3925157274066161
7719,2,2,KVCacheTransfer,DummyLink,0.13134165506178613,0.13134170388991112
7725,2,0,PROMPT,None_0,0.255,0.297965556830434
7725,2,1,TOKEN,None_35,0.2979656827256163,0.40307614948166504
7725,2,2,KVCacheTransfer,DummyLink,0.297965556830434,0.2979656827256163
7724,2,0,PROMPT,None_2,0.2,0.2667276836508308
7724,2,1,TOKEN,None_17,0.26672786675629956,0.4052512860449511
7724,2,2,KVCacheTransfer,DummyLink,0.2667276836508308,0.26672786675629956
7721,2,0,PROMPT,None_3,0.125,0.20872100042057573
7721,2,1,TOKEN,None_23,0.20872123015690386,0.4284893679869314
7721,2,2,KVCacheTransfer,DummyLink,0.20872100042057573,0.20872123015690386
7741,2,0,PROMPT,None_5,0.35,0.3601854060443681
7741,2,1,TOKEN,None_12,0.3601854352598629,0.4464706454362183
7741,2,2,KVCacheTransfer,DummyLink,0.3601854060443681,0.3601854352598629
7730,2,0,PROMPT,None_3,0.28500000000000003,0.313467805915446
7730,2,1,TOKEN,None_39,0.3134678893301595,0.46083593148615865
7730,2,2,KVCacheTransfer,DummyLink,0.313467805915446,0.3134678893301595
7737,2,0,PROMPT,None_7,0.315,0.346522887525884
7737,2,1,TOKEN,None_38,0.3465229798924205,0.47968331166817296
7737,2,2,KVCacheTransfer,DummyLink,0.346522887525884,0.3465229798924205
7727,2,0,PROMPT,None_7,0.27,0.31368766702926487
7727,2,1,TOKEN,None_14,0.31368779504033256,0.4801231942233345
7727,2,2,KVCacheTransfer,DummyLink,0.31368766702926487,0.31368779504033256
7728,2,0,PROMPT,None_6,0.27,0.3369352808888556
7728,2,1,TOKEN,None_28,0.3369354645639858,0.49088778555993673
