name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_13,token,0.0759293912067438,0.3379135996809843,1,0,569901056.0,2,1,0,0,15607,3,8.0,1,1
None_13,token,0.33791359968098433,0.7985521660779112,2,0,1464336384.0,3,1,0,0,15607,4,14.0,2,1
None_13,token,0.7985521660779111,1.0704442241103478,3,0,2272788480.0,4,1,0,0,15607,5,8.0,3,1
None_13,token,1.0704442241103478,1.454332322810636,4,0,3904897024.0,5,1,0,0,15607,6,11.0,4,1
None_13,token,1.454332322810636,1.6757047658253956,5,0,4057464832.0,6,1,0,0,15607,7,6.0,5,1
None_13,token,1.6757047658253954,1.9349918708354568,6,0,4726980608.0,7,1,0,0,15607,8,7.0,6,1
None_13,token,1.9349918708354572,2.4261674336172154,7,0,7963410432.0,8,1,0,0,15607,9,13.0,7,1
None_13,token,2.4261674336172154,2.6342006954183983,8,0,8578924544.0,9,1,0,0,15607,10,5.0,8,1
None_13,token,2.6342006954183983,2.9728834407798876,9,0,9002549248.0,10,1,0,0,15607,11,8.0,9,1
None_13,token,2.9728834407798876,3.142667826225766,9,0,8991539200.0,10,1,0,0,15607,11,4.0,9,1
None_13,token,3.1426678262257663,3.398202415643796,10,0,9753329664.0,11,1,0,0,15607,12,6.0,10,1
None_13,token,3.398202415643796,3.746089402054152,11,0,10326900736.0,12,1,0,0,15607,13,8.0,11,1
None_13,token,3.746089402054152,4.055089704025284,12,0,10995367936.0,13,1,0,0,15607,14,7.0,12,1
None_13,token,4.055089704025285,4.684514173347123,13,0,11582570496.0,14,1,0,0,15607,15,14.0,13,1
None_13,token,4.684514173347123,4.913437440299665,14,0,11815878656.0,14,0,0,0,15607,15,5.0,14,0
None_13,token,4.913437440299665,5.003181925461466,13,0,11735662592.0,14,1,0,0,15607,15,2.0,13,1
None_13,token,5.003181925461466,5.323414554940189,14,0,13433831424.0,15,1,0,0,15607,16,7.0,14,1
None_13,token,5.323414554940189,5.658566616240511,15,0,13510377472.0,15,0,0,0,15607,16,7.0,15,0
None_13,token,5.658566616240511,5.704481567503117,14,0,11875647488.0,14,0,0,0,15607,15,1.0,14,0
None_13,token,5.704481567503117,5.749620920721818,13,0,11760304128.0,14,1,0,0,15607,15,1.0,13,1
None_13,token,5.749620920721817,5.84119934835388,14,0,12774277120.0,15,1,0,0,15607,16,2.0,14,1
None_13,token,5.84119934835388,6.028430617919479,15,0,15039201280.0,16,1,0,0,15607,17,4.0,15,1
None_13,token,6.028430617919479,6.623846818416875,16,0,15746465792.0,17,1,0,0,15607,18,12.0,16,1
None_13,token,6.623846818416875,6.826130097849174,17,0,15785787392.0,17,0,0,0,15607,18,4.0,17,0
None_13,token,6.826130097849174,6.8729173932859595,16,0,12816220160.0,17,1,0,0,15607,18,1.0,16,1
None_13,token,6.8729173932859595,6.919852902512497,17,0,13453230080.0,18,1,0,0,15607,19,1.0,17,1
None_13,token,6.919852902512497,7.348238499012201,18,0,14634975232.0,19,1,0,0,15607,20,9.0,18,1
None_13,token,7.348238499012201,7.4459676372990655,19,0,14697889792.0,19,0,0,0,15607,20,2.0,19,0
None_13,token,7.445967637299065,7.64023108254469,18,0,14977859584.0,19,1,0,0,15607,20,4.0,18,1
None_13,token,7.64023108254469,7.788083467419455,19,0,15724445696.0,20,1,0,0,15607,21,3.0,19,1
None_13,token,7.7880834674194555,8.037997720374232,20,0,16079912960.0,21,1,0,0,15607,22,5.0,20,1
None_13,token,8.037997720374232,8.185765085768177,20,0,15684599808.0,21,1,0,0,15607,22,3.0,20,1
None_13,token,8.185765085768177,8.235689628021609,21,0,15916859392.0,21,0,0,0,15607,22,1.0,21,0
None_13,token,8.235689628021609,8.284725864571772,20,0,16004415488.0,21,1,0,0,15607,22,1.0,20,1
None_13,token,8.284725864571772,8.384845968652602,21,0,16202072064.0,22,1,0,0,15607,23,2.0,21,1
None_13,token,8.384845968652602,8.73655465286756,22,0,16422797312.0,23,1,0,0,15607,24,7.0,22,1
None_13,token,8.73655465286756,8.888231931300659,23,0,16479944704.0,23,0,0,0,15607,24,3.0,23,0
None_13,token,8.888231931300659,9.187835864157064,22,0,15941500928.0,22,0,0,0,15607,23,6.0,22,0
None_13,token,9.187835864157064,9.236811186412261,21,0,15269888000.0,22,1,0,0,15607,23,1.0,21,1
None_13,token,9.236811186412261,9.335209404033796,22,0,15489040384.0,23,1,0,0,15607,24,2.0,22,1
None_13,token,9.335209404033796,9.68163939542707,23,0,15643181056.0,24,1,0,0,15607,25,7.0,23,1
None_13,token,9.68163939542707,9.978767016985696,23,0,15575547904.0,23,0,0,0,15607,24,6.0,23,0
None_13,token,9.978767016985696,10.025554963673288,22,0,13304332288.0,22,0,0,0,15607,23,1.0,22,0
None_13,token,10.025554963673288,10.072112608911706,21,0,16649814016.0,21,0,0,0,15607,24,1.0,21,0
None_13,token,10.072112608911706,10.118462754828567,20,0,17069244416.0,24,4,0,0,15607,25,1.0,20,4
None_13,token,10.118462754828567,10.324499914842763,24,0,17827889152.0,24,0,0,0,15607,26,4.0,24,0
None_13,token,10.324499914842763,10.375195168930137,23,0,17123246080.0,24,1,0,0,15607,25,1.0,23,1
None_13,token,10.375195168930137,10.580729379158035,24,0,18093703168.0,25,1,0,0,15607,26,4.0,24,1
None_13,token,10.580729379158033,11.890555261190414,25,0,18125684736.0,25,0,0,0,15607,26,25.0,25,0
None_13,token,11.890555261190414,11.942383780980604,24,0,17668505600.0,25,1,0,0,15607,26,1.0,24,1
None_13,token,11.942383780980604,12.099127040442323,25,0,19105579008.0,26,1,0,0,15607,27,3.0,25,1
None_13,token,12.099127040442323,12.207182936025697,26,0,19167444992.0,26,0,0,0,15607,27,2.0,26,0
