name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_1,prompt,1.15,1.2435572311772212,1,1,1575485440,1,0,0,0,7719,2,1,0,0
None_1,prompt,1.35,1.9381771529858,1,1,9521070080.0,1,0,0,0,7722,2,1,0,0
None_1,prompt,2.7,3.0656061234615675,1,1,5919211520.0,1,0,0,0,7728,2,1,0,0
None_1,prompt,3.1,3.3471241804641854,1,1,4120903680.0,2,1,0,1,7735,2,1,0,210
None_1,prompt,3.3471241804641854,3.4135726022313055,1,1,553123840.0,1,0,0,0,7739,2,1,0,0
None_1,prompt,3.45,3.737393938706599,1,1,4791992320.0,2,1,0,1,7740,2,1,0,3720
None_1,prompt,3.737393938706599,4.33998799244033,1,1,9754378240.0,7,6,0,6,7744,2,1,0,12646
None_1,prompt,4.33998799244033,4.697170758161533,1,1,5782896640.0,8,7,0,7,7749,2,1,0,14730
None_1,prompt,4.697170758161533,4.778174548506213,2,2,1347420160.0,7,5,0,5,7757,3,1,0,14218
None_1,prompt,4.778174548506213,5.06588309469908,1,1,4797235200.0,7,6,0,6,7758,2,1,0,20066
None_1,prompt,5.06588309469908,5.523498202709239,1,1,7408189440.0,7,6,0,6,7762,2,1,0,18825
None_1,prompt,5.523498202709239,6.377983050409623,1,1,13830717440.0,15,14,0,14,7770,2,1,0,24782
None_1,prompt,6.377983050409623,6.720262952436336,1,1,5541724160.0,17,16,0,16,7781,2,1,0,39401
None_1,prompt,6.720262952436336,7.0727480763407975,1,1,5706874880.0,16,15,0,15,7785,2,1,0,37225
None_1,prompt,7.0727480763407975,7.990894070040471,1,1,14860943360.0,20,19,0,19,7789,2,1,0,50778
None_1,prompt,7.990894070040471,8.306917289997536,1,1,5269094400.0,25,24,0,24,7793,2,1,0,62654
None_1,prompt,8.306917289997536,8.573389830867255,2,2,4445962240.0,30,28,0,28,7800,3,1,0,69127
None_1,prompt,8.573389830867256,8.862986021977736,1,1,4828692480.0,32,31,0,31,7804,2,1,0,75792
None_1,prompt,8.862986021977736,9.167054157456585,3,3,5075107840.0,34,31,0,31,7811,4,1,0,80925
None_1,prompt,9.167054157456585,9.438245810620337,2,2,4524605440.0,35,33,0,33,7817,3,1,0,85344
None_1,prompt,9.438245810620337,10.023345198277926,1,1,9471262720.0,37,36,0,36,7824,2,1,0,89053
None_1,prompt,10.023345198277926,10.339840329464394,1,1,5276958720.0,36,35,0,35,7832,2,1,0,87041
None_1,prompt,10.339840329464394,10.851721299840358,1,1,8286371840.0,35,34,0,34,7835,2,1,0,83881
None_1,prompt,10.851721299840358,11.845839500852161,1,1,16090398720.0,34,33,0,33,7834,2,1,0,77744
None_1,prompt,11.845839500852161,13.050217670075357,1,1,19493027840.0,33,32,0,32,7846,2,1,0,70309
None_1,prompt,13.050217670075357,14.254757826947406,1,1,19495649280.0,32,31,0,31,7852,2,1,0,62873
None_1,prompt,14.254757826947406,14.64126035711103,1,1,6257377280.0,31,30,0,30,7864,2,1,0,60487
None_1,prompt,14.64126035711103,15.30654363095093,1,1,10768875520.0,30,29,0,29,7870,2,1,0,56380
None_1,prompt,15.30654363095093,15.49310587030836,1,1,3111649280.0,29,28,0,28,7873,2,1,0,55194
None_1,prompt,15.493105870308359,16.158227156499407,1,1,10766254080.0,28,27,0,27,7874,2,1,0,51088
None_1,prompt,16.158227156499407,16.51427600867864,1,1,5764546560.0,27,26,0,26,7887,2,1,0,48890
None_1,prompt,16.514276008678635,16.784209231897314,2,2,4503633920.0,26,24,0,24,7889,3,1,0,47174
None_1,prompt,16.784209231897314,17.06122112355704,1,1,4618977280.0,24,23,0,23,7891,2,1,0,45413
None_1,prompt,17.06122112355704,17.42342550639269,1,1,5864161280.0,23,22,0,22,7892,2,1,0,43177
None_1,prompt,17.42342550639269,18.391139720641426,1,1,15663104000.0,22,21,0,21,7893,2,1,0,37203
None_1,prompt,18.391139720641426,18.533346712030802,3,3,2398617600.0,21,18,0,18,7904,4,1,0,36291
None_1,prompt,18.533346712030802,18.79761700049664,1,1,4406640640.0,18,17,0,17,7909,2,1,0,34611
None_1,prompt,18.79761700049664,19.160145358629997,1,1,5869404160.0,17,16,0,16,7908,2,1,0,32373
None_1,prompt,19.160145358629997,19.70069814285297,1,1,8750366720.0,16,15,0,15,7911,2,1,0,29036
None_1,prompt,19.70069814285297,20.014204502919885,1,1,5227151360.0,15,14,0,14,7918,2,1,0,27043
None_1,prompt,20.014204502919885,20.106826161785335,1,1,1559756800.0,14,13,0,13,7917,2,1,0,26449
None_1,prompt,20.106826161785335,20.550024369047563,1,1,7174881280.0,13,12,0,12,7919,2,1,0,23713
None_1,prompt,20.550024369047563,21.06563105534715,1,1,8346664960.0,12,11,0,11,7927,2,1,0,20530
None_1,prompt,21.06563105534715,21.427511462885096,1,1,5858918400.0,11,10,0,10,7933,2,1,0,18296
None_1,prompt,21.427511462885096,21.929349199032167,1,1,8123842560.0,10,9,0,9,7930,2,1,0,15198
None_1,prompt,21.929349199032167,22.202113889627263,1,1,4548198400.0,9,8,0,8,7943,2,1,0,13464
None_1,prompt,22.202113889627263,22.388361521498425,1,1,3106406400.0,8,7,0,7,7945,2,1,0,12280
None_1,prompt,22.388361521498425,22.539300521131008,1,1,2540175360.0,7,6,0,6,7951,2,1,0,11312
None_1,prompt,22.539300521131008,23.079205354758567,1,1,8739880960.0,6,5,0,5,7949,2,1,0,7979
None_1,prompt,23.079205354758567,23.302262062523184,3,3,3725066240.0,5,2,0,2,7958,4,1,0,6561
None_1,prompt,23.302262062523184,23.695406086289786,1,1,6364856320.0,2,1,0,1,7962,2,1,0,4134
None_1,prompt,23.695406086289786,24.365063026648723,1,1,10839654400.0,1,0,0,0,7960,2,1,0,0
None_1,prompt,45.25,45.32309326394383,1,1,1213726720.0,1,0,0,0,7971,2,1,0,0
