request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
7718,2,0,PROMPT,None_1,0.12777777777777777,0.1486549674518359
7718,2,1,TOKEN,None_6,0.14941027751042965,0.28979756036391885
7718,2,2,KVCacheTransfer,DummyLink,0.1486549674518359,0.14941027751042965
7720,2,0,PROMPT,None_3,0.13333333333333333,0.2847206555842072
7720,2,1,TOKEN,None_8,0.2950127088068635,0.4796308288354994
7720,2,2,KVCacheTransfer,DummyLink,0.2847206555842072,0.2950127088068635
7722,2,0,PROMPT,None_1,0.15000000000000002,0.3537388313910019
7722,2,1,TOKEN,None_5,0.3725737332875244,0.536747489517155
7722,2,2,KVCacheTransfer,DummyLink,0.3537388313910019,0.36758999716248625
7717,2,0,PROMPT,None_0,0.11666666666666667,0.19372583742737404
7717,2,1,TOKEN,None_5,0.1992609631597959,0.5681197834137686
7717,2,2,KVCacheTransfer,DummyLink,0.19372583742737404,0.1992609631597959
7725,2,0,PROMPT,None_2,0.2833333333333333,0.36549083654960784
7725,2,1,TOKEN,None_8,0.3848926697273023,0.5991997753446018
7725,2,2,KVCacheTransfer,DummyLink,0.36549083654960784,0.3713921732195297
7724,2,0,PROMPT,None_0,0.2222222222222222,0.34847184233507106
7724,2,1,TOKEN,None_7,0.35833772021295207,0.6463233753707831
7724,2,2,KVCacheTransfer,DummyLink,0.34847184233507106,0.3570549111827273
7729,2,0,PROMPT,None_2,0.36549083654960784,0.42661771838666795
7729,2,1,TOKEN,None_6,0.4365143743961644,0.6536120560789336
7729,2,2,KVCacheTransfer,DummyLink,0.42661771838666795,0.4272929198026836
7719,2,0,PROMPT,None_2,0.12777777777777777,0.15898374712359675
7719,2,1,TOKEN,None_7,0.16127256548297175,0.7103148259373279
7719,2,2,KVCacheTransfer,DummyLink,0.15898374712359675,0.16127256548297175
7741,2,0,PROMPT,None_1,0.49535784628421725,0.5662565319944477
7741,2,1,TOKEN,None_8,0.5690700359481702,0.7480561607037512
7741,2,2,KVCacheTransfer,DummyLink,0.5662565319944477,0.5676260083128071
