name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_16,token,0.6362572069927421,0.707855079827835,1,0,2621440,1,0,0,0,7783,2,5,0,0
None_16,token,0.8844200554701626,1.1523967316317432,1,0,5224529920.0,2,1,0,0,7809,5,17.0,0,1
None_16,token,1.1523967316317432,1.271488186557378,2,0,2015363072.0,2,0,0,0,7809,5,7,0,0
None_16,token,1.271488186557378,1.2872641572923413,1,0,582483968.0,1,0,0,0,7809,3,1.0,0,0
None_16,token,1.4740388799365514,1.6211836390773036,1,0,5242880.0,1,0,0,0,7877,2,10,0,0
None_16,token,4.542717087513581,4.738318575364291,1,0,7340032.0,1,0,0,0,7973,2,14,0,0
None_16,token,4.912883883870155,5.1597807261258515,1,0,3908042752.0,1,0,0,0,8011,3,17,0,0
None_16,token,13.890216101219583,14.051501939518484,1,0,5767168.0,1,0,0,0,8085,2,11,0,0
None_16,token,25.35433112564964,25.431052185293883,1,0,2621440.0,1,0,0,0,8139,2,5,0,0
None_16,token,25.62183961415823,25.80288676758659,1,0,6291456.0,1,0,0,0,8170,2,12,0,0
None_16,token,28.296380231157638,28.584748936721326,1,0,9961472.0,1,0,0,0,8222,2,19,0,0
None_16,token,28.835786701551882,28.924127263619532,1,0,3145728.0,1,0,0,0,8285,2,6,0,0
None_16,token,29.101657256294178,29.394988028917414,1,0,9961472.0,1,0,0,0,8303,2,19,0,0
None_16,token,29.60825616061454,29.706628195155304,1,0,3670016.0,1,0,0,0,8349,2,7,0,0
None_16,token,30.020415000478845,30.15660166013111,1,0,682098688.0,2,1,0,0,8379,3,8.0,0,1
None_16,token,30.15660166013111,30.797111763418116,2,0,113246208.0,2,0,0,0,8379,3,37.0,0,0
None_16,token,30.797111763418116,32.70013027695427,1,0,89653248.0,1,0,0,0,8408,2,134.0,0,0
None_16,token,36.20376470465636,36.71909450459368,1,0,3382706176.0,1,0,0,0,8454,3,37,0,0
None_16,token,38.60365849969353,38.67824445938802,1,0,2621440.0,1,0,0,0,8510,2,5,0,0
None_16,token,38.77621670993807,38.936668516591986,1,0,5767168.0,1,0,0,0,8529,2,11,0,0
None_16,token,39.02952626667213,39.89337832915814,1,0,32505856.0,1,0,0,0,8568,2,62,0,0
None_16,token,42.46380917518733,42.839917516611244,1,0,220725248.0,1,0,0,0,8637,3,27,0,0
None_16,token,43.103409330891246,43.521307488028924,1,0,222298112.0,1,0,0,0,8711,3,30,0,0
None_16,token,43.64200364116316,44.70617818028254,1,0,245891072.0,1,0,0,0,8793,3,75,0,0
None_16,token,51.42543921493314,51.65701681684823,1,0,6815744.0,1,0,0,0,3,2,13,0,0
None_16,token,52.78299423216997,53.7163054566078,1,0,34603008.0,1,0,0,0,24,2,66,0,0
None_16,token,61.347051229505176,61.44156173021924,1,0,78118912.0,2,1,0,0,149,3,6.0,0,1
None_16,token,61.44156173021924,61.5051173801716,2,0,13631488.0,2,0,0,0,149,3,4.0,0,0
None_16,token,61.5051173801716,61.673534008915695,1,0,8388608.0,1,0,0,0,177,2,12.0,0,0
None_16,token,61.85694831357849,62.10312869114783,1,0,7864320.0,1,0,0,0,228,2,15,0,0
None_16,token,62.38085400251029,62.42707145212726,1,0,124780544.0,2,1,0,0,304,2,3.0,0,1
None_16,token,62.42707145212726,62.5381795814208,2,0,128450560.0,2,0,0,0,304,3,7,0,0
