name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_62,token,0.7428875485626363,1.764603417032268,1,0,31457280,1,0,0,0,15634,2,60,0,0
None_62,token,1.8092491563581883,3.4595678091650433,1,0,106954752,2,1,0,0,15695,2,118.0,0,1
None_62,token,3.4595678091650433,4.743827414791221,2,0,163053568,2,0,0,0,15695,3,86.0,0,0
None_62,token,4.743827414791221,5.055241886809235,1,0,56098816,1,0,0,0,15774,2,21.0,0,0
None_62,token,5.067131203427488,6.2809999099718405,1,0,56098816,2,1,0,0,15865,2,86.0,0,1
None_62,token,6.2809999099718405,6.588461418831019,2,0,262144000,2,0,0,0,15865,3,21.0,0,0
None_62,token,6.588461418831019,8.45924680406456,1,0,206045184,2,1,0,0,15933,2,130.0,0,1
None_62,token,8.45924680406456,10.329584364369715,2,0,418906112,3,1,0,0,15933,3,123.0,0,1
None_62,token,10.329584364369715,11.569800279452423,3,0,479199232,4,1,0,0,15933,4,80.0,0,1
None_62,token,11.569800279452423,12.135716298395787,4,0,704118784,4,0,0,0,15933,5,35.0,0,0
None_62,token,12.135716298395787,12.19977636887358,3,0,643825664,3,0,0,0,15933,4,4.0,0,0
None_62,token,12.19977636887358,14.714456908829767,2,0,437780480,2,0,0,0,16043,3,164.0,0,0
None_62,token,14.714456908829767,15.68900260404461,1,0,224919552,2,1,0,0,16227,2,67.0,0,1
None_62,token,15.68900260404461,15.779717312817967,2,0,439877632,3,1,0,0,16227,3,6.0,0,1
None_62,token,15.779717312817967,17.062193311770287,3,0,479199232,3,0,0,0,16227,4,75,0,0
None_62,token,17.062193311770287,17.974458320961702,2,0,439877632,3,1,0,0,16227,3,60.0,0,1
None_62,token,17.974458320961702,18.259534676016784,3,0,650641408,3,0,0,0,16227,4,18.0,0,0
None_62,token,18.259534676016784,19.573248845205143,2,0,425721856,3,1,0,0,16457,3,87.0,0,1
None_62,token,19.573248845205143,20.81530770811743,3,0,633339904,4,1,0,0,16457,4,79.0,0,1
None_62,token,20.81530770811743,21.41991285201706,4,0,836239360,5,1,0,0,16457,5,37.0,0,1
None_62,token,21.41991285201706,21.675405001422003,5,0,1074266112,6,1,0,0,16457,6,15.0,0,1
None_62,token,21.675405001422003,22.25381216093711,6,0,1137180672,6,0,0,0,16457,7,33.0,0,0
None_62,token,22.25381216093711,23.722153103389502,5,0,922222592,5,0,0,0,16566,6,87.0,0,0
None_62,token,23.722153103389502,24.18662133350846,4,0,859308032,5,1,0,0,16566,5,28.0,0,1
None_62,token,24.18662133350846,24.48833093214477,5,0,899678208,5,0,0,0,16566,6,18.0,0,0
None_62,token,24.48833093214477,25.433947010753304,4,0,688914432,4,0,0,0,16607,5,59.0,0,0
