name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_19,token,6.73169409233161,7.637896877154087,1,0,136551892480.0,2,1,0,0,7739,3,3.0,0,1
None_19,token,7.637896877154087,9.460542239337652,2,0,139123525120.0,3,1,0,0,7731,4,6.0,0,1
None_19,token,9.460542239337652,11.30063317545494,2,0,141446120960.0,3,1,0,0,7731,4,6.0,0,1
None_19,token,11.30063317545494,11.612875013845377,3,0,148943439360.0,4,1,0,0,7731,5,1.0,0,1
None_19,token,11.612875013845375,12.5893587387486,4,0,157206218240.0,5,1,0,0,7731,6,3.0,0,1
None_19,token,12.5893587387486,13.269896738933948,5,0,165801920000.0,6,1,0,0,7731,7,2.0,0,1
None_19,token,13.269896738933948,13.624441518662671,5,0,165683955200.0,6,1,0,0,7731,7,1.0,0,1
None_19,token,13.624441518662671,15.046150954436547,6,0,165697062400.0,6,0,0,0,7731,7,4.0,0,0
None_19,token,15.046150954436547,15.37305952922393,4,0,149674821120.0,4,0,0,0,7731,5,1.0,0,0
None_19,token,15.37305952922393,19.731105912775906,2,0,155788019200.0,3,1,0,0,7731,4,14.0,0,1
None_19,token,19.731105912775906,22.43486655391079,3,0,155814233600.0,3,0,0,0,7731,4,8.0,0,0
None_19,token,22.43486655391079,23.0997054112605,2,0,152647534080.0,2,0,0,0,7731,3,2.0,0,0
None_19,token,23.0997054112605,27.381484766805684,1,0,157256025600.0,2,1,0,0,7731,3,14.0,0,1
None_19,token,27.381484766805684,30.448098608711,2,0,159198512640.0,3,1,0,0,7731,4,9.0,0,1
None_19,token,30.448098608711,30.791776191436114,3,0,167592363520.0,4,1,0,0,7731,5,1.0,0,1
None_19,token,30.79177619143611,33.66062833354903,4,0,167613335040.0,4,0,0,0,7731,5,8,0,0
None_19,token,33.66062833354903,35.03584433325916,3,0,159245698560.0,3,0,0,0,7731,4,4.0,0,0
None_19,token,35.03584433325916,35.71369011610213,2,0,161033520640.0,3,1,0,0,7837,4,2.0,0,1
None_19,token,35.71369011610213,36.754906472250056,3,0,161051870720.0,3,0,0,0,7837,4,3.0,0,0
None_19,token,36.754906472250056,38.13159265777465,2,0,159408227840.0,2,0,0,0,7837,3,4.0,0,0
None_19,token,38.13159265777464,72.07221135542378,1,0,154841679360.0,1,0,0,0,7837,2,101.0,0,0
None_19,token,95.55844304495379,103.69694895162478,1,0,154791872000.0,2,1,0,0,7995,3,27.0,0,1
None_19,token,103.69694895162478,105.04247095569396,2,0,164357506560.0,3,1,0,0,7995,4,4.0,0,1
None_19,token,105.04247095569396,105.39595757690302,3,0,164438771200.0,3,0,0,0,7995,4,1.0,0,0
None_19,token,105.39595757690302,107.62650280184236,2,0,147192317440.0,3,1,0,0,7995,4,7.0,0,1
None_19,token,107.62650280184236,111.49322027942303,2,0,146927552000.0,2,0,0,0,8026,3,12,0,0
None_19,token,111.49322027942303,112.12969018041211,1,0,157106603520.0,2,1,0,0,8026,3,2.0,0,1
None_19,token,112.12969018041211,114.17286332903646,2,0,157122332160.0,2,0,0,0,8026,3,6,0,0
None_19,token,114.17286332903646,115.12768055136668,1,0,144633792000.0,1,0,0,0,8026,2,3.0,0,0
None_19,token,277.99628262236627,281.62457725790057,1,0,146568414720.0,2,1,0,0,8083,3,12.0,0,1
None_19,token,281.62457725790057,282.91149786547095,2,0,146631329280.0,2,0,0,0,8083,3,4.0,0,0
None_19,token,282.91149786547095,289.3196469360448,1,0,145873733120.0,1,0,0,0,8083,2,20.0,0,0
None_19,token,503.82750906200806,517.6883734137865,1,0,138929538560.0,2,1,0,0,8136,3,46.0,0,1
None_19,token,517.6883734137865,519.844847522346,2,0,140219287040.0,3,1,0,0,8136,4,7.0,0,1
None_19,token,519.844847522346,520.1552492881234,3,0,140237637120.0,3,0,0,0,8136,4,1.0,0,0
None_19,token,520.1552492881234,520.4651617726491,2,0,139959764480.0,2,0,0,0,8138,3,1.0,0,0
None_19,token,520.4651617726491,521.9819142498463,1,0,136284505600.0,1,0,0,0,8138,2,5.0,0,0
