name,tag,iteration_start,iteration_end,batch_size,prompt_tasks_in_batch,memory,pending_requests,pending_tasks,blocked_tasks,pending_prompts,earliest_request_id,memory_allocs_size,num_contiguous_iterations,batch_tokens,pending_tokens
None_20,token,1.044423933549417,4.074370477801681,1,0,137008023040.0,2,1,0,0,15608,3,10.0,0,1
None_20,token,4.074370477801679,8.331011536539764,2,0,154144376320.0,4,2,0,0,15608,5,14.0,0,2
None_20,token,8.331011536539762,12.338361125203768,4,0,157843228160.0,5,1,0,0,15608,6,12.0,0,1
None_20,token,12.338361125203772,14.378289563060903,5,0,159211619840.0,6,1,0,0,15608,7,6.0,0,1
None_20,token,14.378289563060905,21.220236908385957,6,0,162171225600.0,7,1,0,0,15608,8,20.0,0,1
None_20,token,21.220236908385957,22.262801712978476,7,0,166250186240.0,8,1,0,0,15608,9,3.0,0,1
None_20,token,22.262801712978472,23.32194824019289,8,0,169930688000.0,9,1,0,0,15608,10,3.0,0,1
None_20,token,23.32194824019289,32.98491915996422,9,0,171005478400.0,9,0,0,0,15608,10,27.0,0,0
None_20,token,32.98491915996422,42.24940036291792,8,0,155248002560.0,8,0,0,0,15608,9,28.0,0,0
None_20,token,42.24940036291792,43.23792883665453,7,0,155434124800.0,8,1,0,0,15608,9,3.0,0,1
None_20,token,43.23792883665453,45.896759861911114,8,0,155630732800.0,8,0,0,0,15608,9,8.0,0,0
None_20,token,45.896759861911114,46.557267758119565,7,0,156820866560.0,8,1,0,0,15608,9,2.0,0,1
None_20,token,46.557267758119565,46.89211252337614,8,0,158404216320.0,9,1,0,0,15608,10,1.0,0,1
None_20,token,46.89211252337614,47.563595305030425,9,0,158902289920.0,9,0,0,0,15608,10,2.0,0,0
None_20,token,47.563595305030425,48.222647062066,8,0,156430272000.0,9,1,0,0,15608,10,2.0,0,1
None_20,token,48.222647062066,49.217103097103184,9,0,156705523200.0,9,0,0,0,15608,10,3.0,0,0
None_20,token,49.21710309710319,54.15233601094582,8,0,155732968960.0,9,1,0,0,15619,10,15.0,0,1
None_20,token,54.15233601094581,55.804518763166726,9,0,158773839360.0,10,1,0,0,15619,11,5.0,0,1
None_20,token,55.804518763166726,58.82225127651641,10,0,162588034560.0,11,1,0,0,15619,12,9.0,0,1
None_20,token,58.82225127651641,59.50362269209946,11,0,166402229760.0,12,1,0,0,15619,13,2.0,0,1
None_20,token,59.50362269209947,61.57766972225283,12,0,174554908160.0,14,2,0,0,15619,15,6.0,0,2
None_20,token,61.577669722252836,65.52404101099623,14,0,174955988480.0,14,0,0,0,15619,15,11.0,0,0
None_20,token,65.52404101099623,68.74267152466459,13,0,173920519680.0,13,0,0,0,15712,14,9.0,0,0
None_20,token,68.74267152466459,74.77896691090467,12,0,172190369280.0,12,0,0,0,15712,13,17.0,0,0
None_20,token,74.77896691090467,79.0356954888707,11,0,172499699200.0,12,1,0,0,15712,13,12.0,0,1
None_20,token,79.0356954888707,81.53610865614135,12,0,173807797760.0,13,1,0,0,15712,14,7.0,0,1
None_20,token,81.53610865614135,84.77125768425903,13,0,174098777600.0,13,0,0,0,15712,14,9.0,0,0
None_20,token,84.77125768425903,92.6391756751724,12,0,175419983360.0,13,1,0,0,15712,14,22.0,0,1
None_20,token,92.6391756751724,95.91161777800346,13,0,178704647680.0,14,1,0,0,15712,15,9.0,0,1
None_20,token,95.91161777800346,101.43412881599907,14,0,179768952320.0,15,1,0,0,15712,16,15.0,0,1
None_20,token,101.43412881599907,103.28731491577871,15,0,179913131520.0,15,0,0,0,15712,16,5.0,0,0
None_20,token,103.28731491577871,103.64614149168862,14,0,174145963520.0,15,1,0,0,15712,16,1.0,0,1
None_20,token,103.64614149168862,106.89292089985697,15,0,177234019840.0,16,1,0,0,15712,17,9.0,0,1
None_20,token,106.89292089985697,111.2901411202045,16,0,181229094400.0,17,1,0,0,15712,18,12.0,0,1
None_20,token,111.2901411202045,113.15205936975943,17,0,185061639680.0,18,1,0,0,15712,19,5.0,0,1
None_20,token,113.15205936975943,113.90723501896142,18,0,188621555200.0,19,1,0,0,15712,20,2.0,0,1
