arrival_timestamp,prompt_size,token_size,request_id,application_id,batch_size,request_type
17:04.0,4808,10,0,0,1,2
17:04.0,3180,8,1,0,1,2
17:04.1,110,27,2,0,1,2
17:04.1,7433,14,3,0,1,2
17:04.4,34,12,4,0,1,2
17:04.5,374,14,5,0,1,2
17:04.7,6985,9,6,0,1,2
17:05.0,34,23,7,0,1,2
17:05.3,1145,7,8,0,1,2
17:05.3,201,24,9,0,1,2
17:05.4,137,9,10,0,1,2
17:05.4,7427,8,11,0,1,2
17:33.5,1555,19,12,0,1,2
17:33.6,3893,19,13,0,1,2
17:33.6,1827,10,14,0,1,2
17:33.7,394,17,15,0,1,2
17:33.7,675,6,16,0,1,2
17:34.2,7436,9,17,0,1,2
17:34.2,158,26,18,0,1,2
17:34.5,6587,18,19,0,1,2
17:34.5,763,8,20,0,1,2
17:35.0,1556,18,21,0,1,2
17:35.3,5108,12,22,0,1,2
17:35.4,159,127,23,0,1,2
17:35.4,458,67,24,0,1,2
17:35.6,2464,30,25,0,1,2
17:35.8,4009,51,26,0,1,2
17:36.6,1632,9,27,0,1,2
17:36.7,2567,45,28,0,1,2
17:37.1,730,36,29,0,1,2
17:37.3,5108,10,30,0,1,2
17:37.5,2569,7,31,0,1,2
17:37.6,1832,7,32,0,1,2
17:37.6,1630,9,33,0,1,2
17:37.7,6587,13,34,0,1,2
17:37.7,7436,6,35,0,1,2
17:37.8,1044,16,36,0,1,2
17:37.9,327,124,37,0,1,2
17:38.0,1630,9,38,0,1,2
17:38.3,3351,9,39,0,1,2
17:38.4,1562,18,40,0,1,2
17:38.9,3724,9,41,0,1,2
17:39.0,328,43,42,0,1,2
17:39.0,965,8,43,0,1,2
17:39.3,6586,11,44,0,1,2
17:39.3,2366,7,45,0,1,2
17:39.8,328,40,46,0,1,2
17:40.0,1513,29,47,0,1,2
17:40.3,328,9,48,0,1,2
17:40.6,2025,9,49,0,1,2
17:40.7,2169,13,50,0,1,2
17:40.8,74,14,51,0,1,2
17:41.4,771,142,52,0,1,2
17:41.4,76,18,53,0,1,2
17:41.9,75,16,54,0,1,2
17:42.1,527,27,55,0,1,2
17:42.2,2024,97,56,0,1,2
17:42.7,197,7,57,0,1,2
17:42.7,109,12,58,0,1,2
17:42.9,432,10,59,0,1,2
17:43.1,2025,19,60,0,1,2
17:43.3,6586,9,61,0,1,2
17:43.3,7435,9,62,0,1,2
20:07.0,2648,15,63,0,1,2
20:07.1,2564,9,64,0,1,2
20:07.1,3245,15,65,0,1,2
20:07.2,2144,9,66,0,1,2
20:07.4,2128,13,67,0,1,2
20:07.4,7436,8,68,0,1,2
20:07.5,250,6,69,0,1,2
20:07.6,1177,23,70,0,1,2
20:07.6,2743,38,71,0,1,2
20:11.1,144,18,72,0,1,2
20:11.2,88,19,73,0,1,2
20:11.2,6819,82,74,0,1,2
20:11.3,1179,13,75,0,1,2
20:11.5,3154,9,76,0,1,2
20:11.5,7435,13,77,0,1,2
20:11.5,2656,11,78,0,1,2
20:11.6,236,226,79,0,1,2
20:12.2,90,25,80,0,1,2
20:12.2,3631,15,81,0,1,2
20:12.2,1901,20,82,0,1,2
20:12.2,318,9,83,0,1,2
20:12.3,4556,16,84,0,1,2
20:12.3,5925,52,85,0,1,2
20:12.3,43,33,86,0,1,2
20:12.3,134,18,87,0,1,2
20:12.4,163,13,88,0,1,2
20:12.4,3286,15,89,0,1,2
20:12.4,522,14,90,0,1,2
20:12.5,583,6,91,0,1,2
20:15.1,318,7,92,0,1,2
20:15.3,147,17,93,0,1,2
20:15.3,5025,17,94,0,1,2
20:15.5,4557,9,95,0,1,2
20:15.6,1468,6,96,0,1,2
20:15.6,164,18,97,0,1,2
20:15.6,584,24,98,0,1,2
20:16.1,523,9,99,0,1,2
20:16.3,61,9,100,0,1,2
20:16.3,1724,11,101,0,1,2
20:16.3,1891,16,102,0,1,2
20:16.3,2507,6,103,0,1,2
20:16.4,2147,22,104,0,1,2
20:16.4,3066,6,105,0,1,2
20:16.4,118,9,106,0,1,2
20:16.4,2657,11,107,0,1,2
20:16.4,4556,25,108,0,1,2
20:16.5,5926,121,109,0,1,2
20:16.5,7435,6,110,0,1,2
20:16.6,149,20,111,0,1,2
20:19.2,3658,6,112,0,1,2
20:19.3,3397,7,113,0,1,2
20:19.3,5927,21,114,0,1,2
20:19.3,1894,7,115,0,1,2
20:19.4,2647,6,116,0,1,2
20:19.4,169,25,117,0,1,2
20:19.5,138,29,118,0,1,2
20:19.6,5928,6,119,0,1,2
20:19.6,154,7,120,0,1,2
20:19.6,1107,13,121,0,1,2
20:19.7,1894,19,122,0,1,2
20:19.9,2647,12,123,0,1,2
20:19.9,1182,18,124,0,1,2
20:19.9,1650,11,125,0,1,2
20:20.0,5538,697,126,0,1,2
20:20.0,526,7,127,0,1,2
20:20.2,152,15,128,0,1,2
20:20.2,4566,20,129,0,1,2
20:20.3,7419,6,130,0,1,2
20:20.3,46,25,131,0,1,2
20:20.3,2862,13,132,0,1,2
20:20.4,1724,32,133,0,1,2
20:20.5,1724,16,134,0,1,2
20:20.5,155,30,135,0,1,2
20:20.6,81,15,136,0,1,2
20:20.6,1650,13,137,0,1,2
20:20.6,1364,9,138,0,1,2
20:20.6,1908,22,139,0,1,2
20:20.6,123,15,140,0,1,2
20:20.6,81,7,141,0,1,2
20:20.7,1724,15,142,0,1,2
