arrival_timestamp,prompt_size,token_size,request_id,application_id,batch_size,request_type
00:00.0,1312,204,15604,0,1,2
00:00.0,1113,110,15605,0,1,2
00:00.0,986,121,15606,0,1,2
00:00.3,459,400,15607,0,1,2
00:00.6,408,145,15608,0,1,2
00:00.7,1876,143,15609,0,1,2
00:00.8,1313,123,15610,0,1,2
00:00.8,1032,440,15611,0,1,2
00:01.1,1646,55,15612,0,1,2
00:01.1,1007,397,15613,0,1,2
00:01.2,181,224,15614,0,1,2
00:01.4,5939,72,15615,0,1,2
00:01.4,1965,84,15616,0,1,2
00:01.8,227,73,15617,0,1,2
00:02.0,5108,115,15618,0,1,2
00:02.3,212,183,15619,0,1,2
00:02.7,416,108,15620,0,1,2
00:02.8,1137,396,15621,0,1,2
00:03.0,437,100,15622,0,1,2
00:03.2,2609,96,15623,0,1,2
00:03.4,5243,94,15624,0,1,2
00:03.5,5290,152,15625,0,1,2
00:03.6,120,12,15626,0,1,2
00:04.1,1633,168,15627,0,1,2
00:04.2,2168,74,15630,0,1,2
00:04.2,927,84,15628,0,1,2
00:04.2,181,236,15629,0,1,2
00:04.4,1127,429,15631,0,1,2
00:04.6,418,125,15632,0,1,2
00:05.0,9,140,15633,0,1,2
00:05.1,5942,61,15634,0,1,2
00:05.4,394,92,15635,0,1,2
00:05.5,91,24,15636,0,1,2
00:05.8,1374,95,15637,0,1,2
00:05.9,440,81,15638,0,1,2
00:06.0,237,118,15639,0,1,2
00:06.4,1257,85,15641,0,1,2
00:06.4,1072,413,15642,0,1,2
00:06.4,401,91,15640,0,1,2
00:06.6,414,100,15643,0,1,2
00:06.7,1027,397,15644,0,1,2
00:06.8,344,116,15645,0,1,2
00:07.1,391,102,15646,0,1,2
00:07.4,400,113,15647,0,1,2
00:07.5,3018,100,15648,0,1,2
00:07.7,1060,415,15649,0,1,2
00:08.3,1052,69,15650,0,1,2
00:08.7,405,77,15651,0,1,2
00:08.9,235,99,15652,0,1,2
00:09.0,209,217,15653,0,1,2
00:09.2,1092,438,15655,0,1,2
00:09.2,415,113,15654,0,1,2
00:09.5,1114,395,15656,0,1,2
00:09.8,405,94,15657,0,1,2
00:09.8,191,183,15658,0,1,2
00:09.9,1261,151,15659,0,1,2
00:10.1,3085,90,15660,0,1,2
00:10.2,392,98,15661,0,1,2
00:10.6,219,60,15663,0,1,2
00:10.6,209,212,15662,0,1,2
00:10.7,703,85,15664,0,1,2
00:10.8,3452,113,15665,0,1,2
00:10.9,1240,104,15667,0,1,2
00:10.9,1118,429,15666,0,1,2
00:11.2,1094,397,15669,0,1,2
00:11.2,447,115,15668,0,1,2
00:11.4,134,103,15670,0,1,2
00:11.5,3414,114,15671,0,1,2
00:11.6,2753,151,15672,0,1,2
00:11.7,6280,68,15673,0,1,2
00:11.9,1062,397,15674,0,1,2
00:12.1,2580,118,15676,0,1,2
00:12.1,543,82,15675,0,1,2
00:12.2,1015,398,15678,0,1,2
00:12.2,653,77,15677,0,1,2
00:12.4,5776,98,15679,0,1,2
00:12.5,1159,394,15680,0,1,2
00:12.5,1037,92,15681,0,1,2
00:12.9,2429,163,15682,0,1,2
00:13.2,1077,393,15683,0,1,2
00:13.6,418,93,15685,0,1,2
00:13.6,388,73,15684,0,1,2
00:13.7,395,96,15686,0,1,2
00:14.4,224,79,15687,0,1,2
00:15.0,37,48,15688,0,1,2
00:15.2,1076,411,15690,0,1,2
00:15.2,833,78,15689,0,1,2
00:15.5,209,179,15691,0,1,2
00:15.6,432,166,15692,0,1,2
00:15.9,1065,417,15693,0,1,2
00:16.1,1083,428,15694,0,1,2
00:16.2,163,205,15695,0,1,2
00:16.7,1022,411,15696,0,1,2
00:16.7,241,100,15697,0,1,2
00:16.9,222,96,15698,0,1,2
00:17.0,5977,122,15699,0,1,2
00:17.5,397,98,15700,0,1,2
00:17.8,403,97,15701,0,1,2
00:17.8,397,100,15702,0,1,2
00:18.5,181,139,15703,0,1,2
00:18.7,1383,122,15704,0,1,2
00:19.0,396,93,15705,0,1,2
00:19.1,3497,114,15706,0,1,2
00:19.3,1045,412,15707,0,1,2
00:19.3,1028,411,15708,0,1,2
00:19.3,197,181,15709,0,1,2
00:19.5,2307,99,15710,0,1,2
00:19.7,1314,176,15711,0,1,2
00:19.9,1036,399,15712,0,1,2
00:20.2,235,70,15713,0,1,2
00:20.4,3295,130,15714,0,1,2
00:20.5,1719,110,15715,0,1,2
00:20.6,2207,144,15716,0,1,2
00:20.7,5345,140,15717,0,1,2
00:20.8,1157,397,15718,0,1,2
00:20.9,1050,396,15719,0,1,2
00:21.1,6352,74,15720,0,1,2
00:21.9,5977,116,15722,0,1,2
00:21.9,1007,411,15721,0,1,2
00:22.0,2723,109,15724,0,1,2
00:22.0,918,109,15723,0,1,2
00:22.1,222,69,15725,0,1,2
00:22.3,237,72,15726,0,1,2
00:22.4,420,121,15728,0,1,2
00:22.4,181,164,15727,0,1,2
00:22.6,1366,101,15729,0,1,2
00:23.0,1140,394,15731,0,1,2
00:23.0,1137,396,15730,0,1,2
00:23.3,394,93,15732,0,1,2
00:23.4,1009,411,15733,0,1,2
00:23.6,2584,148,15734,0,1,2
00:23.7,1166,37,15735,0,1,2
00:23.9,1104,84,15736,0,1,2
